Max_Rape,STATES,year
871,"ANDHRA PRADESH",2001
33,"ARUNACHAL PRADESH",2001
817,ASSAM,2001
888,BIHAR,2001
959,CHHATTISGARH,2001
12,GOA,2001
286,GUJARAT,2001
398,HARYANA,2001
124,"HIMACHAL PRADESH",2001
169,"JAMMU & KASHMIR",2001
567,JHARKHAND,2001
293,KARNATAKA,2001
562,KERALA,2001
2851,"MADHYA PRADESH",2001
1302,MAHARASHTRA,2001
20,MANIPUR,2001
26,MEGHALAYA,2001
52,MIZORAM,2001
17,NAGALAND,2001
790,ODISHA,2001
298,PUNJAB,2001
1049,RAJASTHAN,2001
8,SIKKIM,2001
423,"TAMIL NADU",2001
102,TRIPURA,2001
1958,"UTTAR PRADESH",2001
74,UTTARAKHAND,2001
709,"WEST BENGAL",2001
3,"A & N ISLANDS",2001
18,CHANDIGARH,2001
6,"D & N HAVELI",2001
0,"DAMAN & DIU",2001
381,DELHI,2001
0,LAKSHADWEEP,2001
9,PUDUCHERRY,2001
1002,"ANDHRA PRADESH",2002
38,"ARUNACHAL PRADESH",2002
970,ASSAM,2002
1040,BIHAR,2002
992,CHHATTISGARH,2002
12,GOA,2002
267,GUJARAT,2002
361,HARYANA,2002
137,"HIMACHAL PRADESH",2002
192,"JAMMU & KASHMIR",2002
797,JHARKHAND,2002
292,KARNATAKA,2002
499,KERALA,2002
2891,"MADHYA PRADESH",2002
1352,MAHARASHTRA,2002
14,MANIPUR,2002
38,MEGHALAYA,2002
76,MIZORAM,2002
17,NAGALAND,2002
691,ODISHA,2002
299,PUNJAB,2002
1051,RAJASTHAN,2002
6,SIKKIM,2002
534,"TAMIL NADU",2002
108,TRIPURA,2002
1415,"UTTAR PRADESH",2002
89,UTTARAKHAND,2002
759,"WEST BENGAL",2002
2,"A & N ISLANDS",2002
18,CHANDIGARH,2002
4,"D & N HAVELI",2002
0,"DAMAN & DIU",2002
403,DELHI,2002
1,LAKSHADWEEP,2002
6,PUDUCHERRY,2002
946,"ANDHRA PRADESH",2003
31,"ARUNACHAL PRADESH",2003
1095,ASSAM,2003
985,BIHAR,2003
898,CHHATTISGARH,2003
31,GOA,2003
236,GUJARAT,2003
353,HARYANA,2003
126,"HIMACHAL PRADESH",2003
211,"JAMMU & KASHMIR",2003
712,JHARKHAND,2003
321,KARNATAKA,2003
394,KERALA,2003
2738,"MADHYA PRADESH",2003
1268,MAHARASHTRA,2003
18,MANIPUR,2003
40,MEGHALAYA,2003
54,MIZORAM,2003
14,NAGALAND,2003
725,ODISHA,2003
380,PUNJAB,2003
1050,RAJASTHAN,2003
10,SIKKIM,2003
557,"TAMIL NADU",2003
114,TRIPURA,2003
911,"UTTAR PRADESH",2003
107,UTTARAKHAND,2003
1002,"WEST BENGAL",2003
2,"A & N ISLANDS",2003
18,CHANDIGARH,2003
1,"D & N HAVELI",2003
5,"DAMAN & DIU",2003
490,DELHI,2003
2,LAKSHADWEEP,2003
2,PUDUCHERRY,2003
1016,"ANDHRA PRADESH",2004
